id1 id2 startTime duration
1 8 1674 1
1 8 1684 2
1 8 1687 1
1 8 1689 1
1 8 1691 17
1 8 1993 1
1 8 1995 1
1 8 2015 1
1 8 2030 3
1 17 2275 1
1 22 1941 1
1 26 1984 1
1 31 2257 1
1 35 1794 1
1 35 1806 1
1 35 1822 1
1 35 1827 3
1 35 1888 1
1 35 1892 1
1 35 1899 2
1 35 1904 1
1 35 1988 1
1 35 2114 1
1 35 2142 1
1 35 2148 2
1 35 2155 1
1 35 2221 1
1 35 2663 1
1 35 2666 9
1 35 2677 2
1 35 2680 2
1 35 2683 2
1 35 2688 5
1 35 2694 1
1 35 2696 2
1 49 2238 3
1 53 1721 2
1 53 1734 1
1 53 1737 1
1 53 1740 1
1 53 1748 1
1 53 1758 6
1 53 1766 1
1 53 1812 1
1 53 1831 4
1 53 1837 6
1 53 1845 3
1 53 1850 3
1 53 1854 4
1 53 1866 1
1 53 1905 1
1 53 1914 1
1 53 1916 1
1 53 2121 2
1 53 2224 1
1 53 2332 1
1 53 2451 1
1 53 2457 1
1 53 2488 1
1 53 2567 1
1 53 2574 3
1 55 1961 2
1 55 1967 1
1 55 1977 1
1 55 1979 1
1 61 2405 1
1 61 2415 1
1 61 2418 1
1 61 2425 2
1 61 2428 2
1 61 2432 3
1 61 2441 2
1 61 2448 2
1 61 2456 1
1 61 2478 2
1 61 2499 7
1 61 2507 1
1 61 2551 3
1 61 2555 1
1 61 2562 1
1 61 2564 1
1 61 2567 1
1 61 2569 2
1 64 1718 1
1 64 1738 1
1 64 1748 3
1 64 1757 1
1 64 1759 1
1 64 1761 1
1 64 1765 1
1 64 1768 1
1 64 1774 1
1 64 1778 1
1 64 1783 1
1 64 1786 2
1 64 1797 2
1 64 1815 1
1 64 1823 1
1 64 1826 1
1 64 1871 1
1 64 1874 1
1 64 1922 1
1 64 2199 1
1 64 2221 1
1 64 2224 2
1 64 2231 1
1 64 2449 1
1 64 2571 1
1 64 2576 1
1 72 1697 1
1 72 2032 1
1 75 2665 2
1 76 1675 1
1 76 1708 1
1 76 1999 2
1 82 2275 1
1 88 1794 1
1 88 1806 1
1 88 1820 1
1 88 1825 1
1 88 1833 1
1 88 1843 1
1 88 2212 1
1 88 2219 1
1 90 1719 1
1 90 1746 1
1 90 1787 1
1 90 1793 1
1 90 1816 1
1 90 1823 1
1 90 1831 1
1 90 1871 1
1 90 1899 2
1 90 2131 1
1 90 2133 1
1 90 2141 1
1 90 2627 1
1 94 1804 2
1 94 1818 2
1 94 1821 2
1 94 1824 1
1 94 1828 1
1 94 2146 1
1 94 2149 1
1 94 2155 1
1 94 2157 1
1 94 2225 1
1 94 2251 2
1 94 2254 1
1 94 2694 1
1 94 2696 1
1 96 1988 1
1 97 1962 1
1 102 2406 1
1 102 2408 1
1 102 2413 2
1 102 2416 1
1 102 2434 1
1 102 2439 1
1 102 2450 3
1 102 2455 1
1 102 2479 1
1 107 1716 1
1 107 1737 1
1 107 1749 2
1 107 1753 1
1 107 1755 1
1 107 1757 2
1 107 1761 1
1 107 1764 2
1 107 1767 4
1 107 1772 1
1 107 1779 1
1 107 1784 1
1 107 1787 1
1 107 1789 3
1 107 1796 1
1 107 1815 1
1 107 1825 1
1 107 1837 1
1 107 1859 1
1 107 1867 2
1 107 1870 1
1 107 1872 3
1 107 1884 1
1 107 1924 2
1 107 1930 1
1 107 1939 1
1 107 2117 1
1 107 2127 1
1 107 2143 2
1 107 2157 2
1 107 2162 1
1 107 2191 1
1 107 2207 1
1 107 2213 1
1 107 2219 1
1 107 2591 1
1 107 2603 1
1 107 2620 1
1 107 2668 1
